Material Class,Material Formula,Notes
Double Perovskite,Lu2ZnTiO6,[MARGINAL] No synthesis papers found; tolerance factor t=0.811 just above confirmed Lu2CoCrO6 (t=0.808); marginal — may form but pushing stability limit
Double Perovskite,Lu2ZnZrO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.789 below confirmed Ho2ZnZrO6 (t=0.802); Ho is the smallest RE confirmed for this composition
Double Perovskite,Pb2AlBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Pb2+ on A-site with Bi5+ on B-site is chemically problematic — Pb2+ 6s2 lone pair can reduce Bi5+ to Bi3+; no Pb2B'BiO6 compounds have been experimentally synthesized for any B'; Sb5+ analogue Pb2AlSbO6 also not reported; Al3+ (0.535 A) very small for double perovskite B-site with large Pb2+ A-site; tolerance factor likely >1.05; viability uncertain to poor
Double Perovskite,Pb2AlNbO6,[MARGINAL] No experimental synthesis found; Al3+ (0.535 Å) very small for B-site creating high tolerance factor; pyrochlore competing phase likely; Ba2AlNbO6 exists but Pb analogue unreported
Double Perovskite,Pb2AlSbO6,[MARGINAL] No experimental synthesis found; Al3+ (0.535 Å) and Sb5+ (0.60 Å) both very small for octahedral B-sites; extremely high tolerance factor likely favors non-perovskite phases
Double Perovskite,Pb2AlTaO6,[MARGINAL] No experimental synthesis found; same Al3+ size concern as Nb analogue; AlTaO4 precursor would need very high temperature
Double Perovskite,Pb2CaMoO6,Does not form double perovskite; Ca2+ (1.00 Å) too large for B-site when Pb2+ is on A-site; competing scheelite phases CaMoO4 + PbMoO4 thermodynamically favored
Double Perovskite,Pb2CaWO6,Does not form double perovskite; Ca2+ (1.00 Å) too large for B-site when Pb2+ is on A-site; would decompose to PbWO4 + CaO or CaWO4 + PbO; Ba2CaWO6 and Sr2CaWO6 exist because Ba/Sr are much larger A-site cations
Double Perovskite,Pb2CeSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2GaBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; same Pb2+/Bi5+ redox incompatibility concern as Pb2AlBiO6; no Pb2B'BiO6 compounds experimentally known; Sb5+ analogue Pb2GaSbO6 also not reported; Ga3+ (0.620 A) small for B-site; viability uncertain to poor
Double Perovskite,Pb2GaNbO6,[MARGINAL] No experimental synthesis found; Ga3+ (0.620 Å) close to Fe3+ (0.645 Å) and Pb(Fe0.5Nb0.5)O3 is well-known; feasible but likely requires careful optimization to avoid pyrochlore
Double Perovskite,Pb2GaSbO6,[MARGINAL] No experimental synthesis found; Ga3+ (0.620 Å) and Sb5+ (0.60 Å) both relatively small; high tolerance factor may favor non-perovskite phases
Double Perovskite,Pb2GaTaO6,[MARGINAL] No experimental synthesis found; GaTaO4 precursor route would be needed; feasible by analogy with Pb2GaNbO6 assessment
Double Perovskite,Pb2HfCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2HfSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2InBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found specifically for this compound; Sb5+ analogue Pb2InSbO6 not well documented; In3+ (0.800 A) close to Bi5+ (0.760 A) may reduce B-site ordering; Pb2+/Bi5+ redox concern persists; feasibility uncertain
Double Perovskite,Pb2InSbO6,[MARGINAL] No experimental synthesis found; In-containing Pb perovskites struggle with pyrochlore formation; Sb2O5 less thermally stable than Nb2O5; uncertain
Double Perovskite,Pb2LuBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Lu3+ (0.861 A) larger than Bi5+ (0.760 A) — reasonable size difference for ordering; Pb2+/Bi5+ redox concern persists; Ba2LuBiO6 and Sr2LuBiO6 both experimentally known suggesting LuBi ordering is stable; replacing Ba/Sr with Pb introduces lone-pair distortion and redox risk; feasibility uncertain
Double Perovskite,Pb2LuSbO6,"No experimental synthesis found but likely viable; Pb2ScSbO6, Pb2YSbO6, Pb2TmSbO6 all confirmed; Lu3+ (0.861 Å) between Tm3+ and Yb3+; standard ceramic synthesis expected"
Double Perovskite,Pb2LuTaO6,No experimental synthesis found but likely viable; Lu3+ (0.861 Å) close to Yb3+ and In3+; LuTaO4 precursor exists; expect wolframite precursor + PbO route at ~1200-1400°C
Double Perovskite,Pb2ScBiO6,[MARGINAL] No experimental synthesis papers found; DFT-only study (10.1016/j.cplett.2022.139987 — Abraham et al. Chem. Phys. Lett. 2022 806 139987; described as 'new' compound; bandgap 2.171 eV by TB-mBJ; SLME 29.5%); Sb5+ analogue Pb2ScSbO6 experimentally synthesized by standard ceramic procedures (10.1039/b821688f — Alonso et al. Dalton Trans. 2009; Fm-3m; Pb2+ 6s lone pair causes off-center displacement); Bi5+ substitution for Sb5+ plausible given Pb2ScSbO6 exists but Bi5+ is harder to stabilize than Sb5+; feasibility moderate — may require oxidizing atmosphere or low-T route
Double Perovskite,Pb2TiCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiZrO6,Does not adopt ordered double perovskite structure; PbZr0.5Ti0.5O3 (PZT) is the canonical disordered perovskite ferroelectric solid solution
Double Perovskite,Pb2YBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Y3+ (0.900 A) much larger than Bi5+ (0.760 A) — large size difference favorable for ordering; but Pb2+/Bi5+ redox concern; Sb5+ analogue Pb2YSbO6 not well documented; tolerance factor reasonable; feasibility uncertain — redox stability is main concern
Double Perovskite,Pb2YNbO6,No experimental synthesis found but likely viable; Y3+ (0.900 Å) similar to Sc/In which form well-known Pb DPs; YNbO4 precursor known; expect ~1100-1200°C synthesis
Double Perovskite,Pb2YTaO6,No experimental synthesis found but likely viable; YTaO4 precursor known; by analogy with PST expect ~1200-1500°C; Pb(Yb0.5Ta0.5)O3 crystals grown from flux
Double Perovskite,Pb2ZnMoO6,[MARGINAL] No experimental synthesis found but plausible; Zn2+ (0.74 Å) nearly identical to Mg2+ (0.72 Å) and Pb2MgMoO6 is confirmed; ZnMoO4 precursor route recommended; expect ~900-1100°C
Double Perovskite,Pb2ZnTeO6,No experimental synthesis papers found; tolerance factor t~1.00 very favorable; Pb2MgTeO6 is well-known and Zn2+ (0.74 Å) similar to Mg2+ (0.72 Å); likely viable but unreported
Double Perovskite,Pb2ZrCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2ZrHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2ZrSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2AlBiO6,No experimental synthesis papers found; Sb analogue Sr2AlSbO6 experimentally confirmed (cubic Fm-3m a=5.6058 A; 10.1016/j.jssc.2008.02.007); Al3+ (0.535 A) much smaller than Bi5+ (0.760 A) giving large charge/size difference favorable for B-site ordering; tolerance factor ~0.93; likely feasible by solid-state
Double Perovskite,Sr2AlNbO6,No experimental synthesis papers found; only DFT studies; but Sr2AlSbO6 and Ba2AlNbO6 are both experimentally confirmed — likely feasible
Double Perovskite,Sr2CeSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2GaBiO6,No experimental synthesis papers found; Sb analogue Sr2GaSbO6 experimentally confirmed (tetragonal); Ga3+ (0.620 A) provides good charge/size contrast with Bi5+ (0.760 A); tolerance factor ~0.92; likely feasible by solid-state
Double Perovskite,Sr2HfCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2HfSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2InBiO6,No experimental synthesis papers found; only DFT studies (A2InBiO6 series; narrowest bandgap due to CBM lowering); Sb analogue Sr2InSbO6 well-known (bandgap 2.55 eV; used as phosphor host); In3+ (0.800 A) close to Bi5+ (0.760 A) may reduce ordering; Ba2InBiO6 studied computationally; tolerance factor ~0.90; likely feasible
Double Perovskite,Sr2TiCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2TiHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2TiSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2TiZrO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2YBiO6,No experimental synthesis papers found; only DFT study (10.1007/s10904-025-03710-x — indirect bandgap 2.15 eV; mechanically/dynamically stable; n=1.82); Sb analogue Sr2YSbO6 experimentally confirmed (used as phosphor host); Y3+ (0.900 A) large for Sr-based perovskite giving tolerance factor ~0.82; likely feasible
Double Perovskite,Sr2ZrCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2ZrHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Sr2ZrSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Y2CaCeO6,Does not form double perovskite; Ca2+ (1.00 Å) and Ce4+ (0.87 Å) both oversized for B-site with small Y3+ A-site; tolerance factor t=0.733 far below any confirmed double perovskite; La analogue also unreported
Double Perovskite,Y2CaGeO6,[MARGINAL] Does not form double perovskite; Ca2+ too large for B-site with small Y3+ A-site; tolerance factor t=0.790; La analogue (La2CaGeO6) also unreported — Ca2+ too large for octahedral B-site even with La on A-site
Double Perovskite,Y2CaHfO6,Does not form double perovskite; Ca2+ too large for B-site with small Y3+ A-site; tolerance factor t=0.759 far below any confirmed double perovskite
Double Perovskite,Y2CaSnO6,Does not form double perovskite; Ca2+ too large for B-site with small Y3+ A-site; tolerance factor t=0.762 far below any confirmed double perovskite; La analogue exists (t=0.806) but Y substitution drops t too low
Double Perovskite,Y2CaTiO6,Does not form double perovskite; Ca2+ too large for B-site with small Y3+ A-site; tolerance factor t=0.777; La analogue (La2CaTiO6) also marginal
Double Perovskite,Y2CaZrO6,Does not form double perovskite; Ca2+ too large for B-site with small Y3+ A-site; tolerance factor t=0.757 far below any confirmed double perovskite
Double Perovskite,Y2MgCeO6,Does not form double perovskite; Ce4+ (0.87 Å) too large for B-site with small Y3+ A-site; tolerance factor t=0.779; La analogue (La2MgCeO6) also unreported — Ce4+ is redox-unstable and tends to reduce to Ce3+
